rules,support,confidence,lift,count,lhs_length
{itemID=214725506} => {itemID=214692581},0.0022948863661105814,0.5501043841336117,107.78713385394772,527,1
{itemID=214692581} => {itemID=214725506},0.0022948863661105814,0.44965870307167233,107.78713385394772,527,1
{itemID=214712235} => {itemID=214700000},0.0021903754120562095,0.4467140319715808,83.46937104636761,503,1
{itemID=214700000} => {itemID=214712235},0.0021903754120562095,0.4092758340113914,83.46937104636761,503,1
{itemID=214684372} => {itemID=214613915},0.004315431477828436,0.5339439655172413,58.30500531875645,991,1
{itemID=214613915} => {itemID=214684372},0.004315431477828436,0.4712315739419876,58.30500531875646,991,1
{itemID=214706460} => {itemID=214640520},0.0021947300351418085,0.37809452363090773,53.26748742400324,504.00000000000006,1
{itemID=214640520} => {itemID=214706460},0.0021947300351418085,0.30920245398773005,53.26748742400324,504.00000000000006,1
{itemID=214837280} => {itemID=214838092},0.0026432562129584873,0.4084791386271871,46.16316824482573,607,1
{itemID=214829880} => {itemID=214845579},0.002617128474444894,0.4339350180505415,27.286218915702193,601,1
{itemID=214640520} => {itemID=214845407},0.00418914740834607,0.5901840490797546,82.04022712755686,961.9999999999999,1
{itemID=214845407} => {itemID=214640520},0.00418914740834607,0.5823244552058111,82.04022712755686,961.9999999999999,1
{itemID=214844336} => {itemID=214527519},0.0025126175203905227,0.33841642228739005,38.74092005508401,577,1
{itemID=214836956} => {itemID=214832156},0.0020858644580018376,0.32126089872568747,43.04240025919813,479,1
{itemID=214845581} => {itemID=214845577},0.002660674705300883,0.30398009950248756,12.525801907383949,611,1
{itemID=214602733} => {itemID=214835473},0.0025866461128457026,0.47368421052631576,11.087281193504605,594,1
{itemID=214743335} => {itemID=214838225},0.0025474545050753134,0.36631183469004386,19.324653349427145,585,1
{itemID=214743335} => {itemID=214835473},0.0021642476735426164,0.3112085159674389,7.284296688949,497,1
{itemID=214850402} => {itemID=214845587},0.003222421083343131,0.5683563748079877,50.08362481476635,740,1
{itemID=214845585} => {itemID=214845583},0.0028871151057520217,0.3827944572748268,31.16104287949256,663,1
{itemID=214845887} => {itemID=214849001},0.002604064605188098,0.4029649595687331,42.70294244592684,598,1
{itemID=214845887} => {itemID=214846007},0.0032964496757983113,0.5101078167115903,44.83033644755695,757,1
{itemID=214835167} => {itemID=214829765},0.002948079828950405,0.3144449605202044,34.36908861438375,677,1
{itemID=214829765} => {itemID=214835167},0.002948079828950405,0.3222275107091861,34.36908861438374,677,1
{itemID=214844368} => {itemID=214844370},0.0037928767075565773,0.34090019569471625,10.6727555336783,871,1
{itemID=214848997} => {itemID=214846007},0.0024647166664489356,0.30528586839266453,26.829755875836153,566,1
{itemID=214845412} => {itemID=214845587},0.002878405859580824,0.39819277108433737,35.088789771518925,661,1
{itemID=214846061} => {itemID=214846007},0.0025953553590169,0.3443096476025419,30.25932330084016,596,1
{itemID=214835064} => {itemID=214835070},0.0032703219372847182,0.3416742493175614,25.532839664020212,751,1
{itemID=214835064} => {itemID=214835428},0.0032180664602575325,0.3362147406733394,20.693832555070045,739,1
{itemID=214835064} => {itemID=214835426},0.004163019669832477,0.4349408553230209,16.85173830896471,955.9999999999999,1
{itemID=214829878} => {itemID=214845577},0.005312640164430568,0.404777704047777,16.679267312979643,1220,1
{itemID=214836932} => {itemID=214844347},0.006349040458803089,0.5506042296072508,26.868105799243235,1458,1
{itemID=214844347} => {itemID=214836932},0.006349040458803089,0.3098172545686358,26.868105799243235,1458,1
{itemID=214845579} => {itemID=214845577},0.005804712573103235,0.3650054764512596,15.040413173828046,1333,1
{itemID=214835070} => {itemID=214835426},0.0056479461420216774,0.4220631304913765,16.352792196586837,1297,1
{itemID=214601233} => {itemID=214835473},0.0038015859537277753,0.3442429022082019,8.057515473039823,873,1
{itemID=214835109} => {itemID=214844342},0.0037667489690429846,0.3329484218629715,20.20042497887309,865,1
{itemID=214844340} => {itemID=214844345},0.005121036748664219,0.4182076813655761,15.863500191026143,1176,1
{itemID=214844355} => {itemID=214844370},0.005965833627270391,0.3943580886586068,12.34639207057275,1370,1
{itemID=214844402} => {itemID=214844396},0.004920724086726673,0.3407720144752714,9.946012477899822,1130,1
{itemID=214844402} => {itemID=214844400},0.005608754534251288,0.3884197828709288,9.637720946327711,1288,1
{itemID=214835428} => {itemID=214835426},0.00712416336803968,0.43848834092736533,16.989185270609262,1636,1
{itemID=214748336} => {itemID=214835473},0.004446070170396402,0.30359797799583704,7.10616076495179,1021.0000000000001,1
{itemID=214826949} => {itemID=214835473},0.008944395817819988,0.5696062118691071,13.332477841181696,2054,1
{itemID=214844342} => {itemID=214844345},0.006849822113646953,0.41558784676354027,15.764124334097481,1573,1
{itemID=214844372} => {itemID=214844396},0.007446405476373992,0.3668740613602231,10.707845237013599,1710,1
{itemID=214844372} => {itemID=214844400},0.0074159231147748,0.36537223771722804,9.065850463708479,1703,1
{itemID=214835426} => {itemID=214835473},0.008413131801376933,0.32596591867723973,7.629715577510957,1932.0000000000002,1
{itemID=214844398} => {itemID=214844396},0.01034658445138281,0.3366869774691795,9.826783705261802,2376,1
{itemID=214844396} => {itemID=214844398},0.01034658445138281,0.3019827147941027,9.826783705261803,2376,1
{itemID=214844398} => {itemID=214844400},0.011213154445416977,0.3648859288649568,9.053783856345493,2575,1
{itemID=214844396} => {itemID=214844400},0.01283742885634534,0.3746822572445348,9.296856643532385,2948,1
{itemID=214844400} => {itemID=214844396},0.01283742885634534,0.31853052404105886,9.296856643532385,2948,1
"{itemID=214835070,itemID=214835428} => {itemID=214835426}",0.0020205451117178553,0.5693251533742332,22.058443992915855,464,1
"{itemID=214835070,itemID=214835426} => {itemID=214835428}",0.0020205451117178553,0.35774865073245954,22.019232887390174,464,1
"{itemID=214844340,itemID=214844342} => {itemID=214844345}",0.0022295670198265987,0.6522292993630573,24.740434181538127,511.99999999999994,1
"{itemID=214844340,itemID=214844345} => {itemID=214844342}",0.0022295670198265987,0.43537414965986393,26.41473054215081,511.99999999999994,1
"{itemID=214844342,itemID=214844345} => {itemID=214844340}",0.0022295670198265987,0.32549268912905277,26.581247021438408,511.99999999999994,1
"{itemID=214844398,itemID=214844402} => {itemID=214844400}",0.0020161904886322564,0.5202247191011236,12.908149618487425,463,1
"{itemID=214844400,itemID=214844402} => {itemID=214844398}",0.0020161904886322564,0.359472049689441,11.697537333531661,463,1
"{itemID=214844396,itemID=214844402} => {itemID=214844400}",0.0022644040045113893,0.46017699115044247,11.418206853028499,520,1
"{itemID=214844400,itemID=214844402} => {itemID=214844396}",0.0022644040045113893,0.40372670807453415,11.783452588833768,520,1
"{itemID=214835426,itemID=214835428} => {itemID=214835473}",0.0023166594815385755,0.3251833740831296,7.611398961148095,532,1
"{itemID=214835428,itemID=214835473} => {itemID=214835426}",0.0023166594815385755,0.5180136319376826,20.070384419065526,532,1
"{itemID=214844372,itemID=214844398} => {itemID=214844396}",0.0026911570669000745,0.4458874458874459,13.013985633075619,618,1
"{itemID=214844372,itemID=214844396} => {itemID=214844398}",0.0026911570669000745,0.36140350877192984,11.760388714452988,618,1
"{itemID=214844372,itemID=214844398} => {itemID=214844400}",0.002974207567463998,0.49278499278499277,12.227297517897194,683,1
"{itemID=214844372,itemID=214844400} => {itemID=214844398}",0.002974207567463998,0.40105695830886673,13.0507469127117,683,1
"{itemID=214844372,itemID=214844396} => {itemID=214844400}",0.002995980682891992,0.4023391812865497,9.983097993498063,688,1
"{itemID=214844372,itemID=214844400} => {itemID=214844396}",0.002995980682891992,0.40399295361127424,11.791223418943394,688,1
"{itemID=214844370,itemID=214844398} => {itemID=214844396}",0.0021076375734298317,0.49948400412796695,14.57829260192558,484,1
"{itemID=214844370,itemID=214844396} => {itemID=214844398}",0.0021076375734298317,0.3734567901234568,12.15261311332588,484,1
"{itemID=214844370,itemID=214844396} => {itemID=214844400}",0.002286177119939384,0.4050925925925926,10.051417402004923,525,1
"{itemID=214844370,itemID=214844400} => {itemID=214844396}",0.002286177119939384,0.46174142480211083,13.476711048930037,525,1
"{itemID=214844396,itemID=214844398} => {itemID=214844400}",0.004986043433010656,0.4819023569023569,11.957270571735725,1145,1
"{itemID=214844398,itemID=214844400} => {itemID=214844396}",0.004986043433010656,0.4446601941747573,12.97816619858737,1145,1
"{itemID=214844396,itemID=214844400} => {itemID=214844398}",0.004986043433010656,0.3883989145183175,12.638843011038817,1145,1
